TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_XRR_04082026	
2θ, °	Intensity, cps
0.42399999499321	111309.421875
0.428000003099442	111571.5546875
0.432000011205673	111691.34375
0.435999989509583	112824.5390625
0.439999997615814	113474.0390625
0.444000005722046	113964.046875
0.448000013828278	114958.2265625
0.451999992132187	114855.5390625
0.456000000238419	116784.5
0.46000000834465	116910.4765625
0.46399998664856	116644.65625
0.467999994754791	117653.4296875
0.472000002861023	118956.1171875
0.476000010967255	118593.8984375
0.479999989271164	119844.09375
0.483999997377396	118834.046875
0.488000005483627	121056.8515625
0.492000013589859	120654.203125
0.495999991893768	120188.5234375
0.5	120312.125
0.504000008106232	119929.453125
0.508000016212463	122137.046875
0.512000024318695	122033.5234375
0.515999972820282	121945.078125
0.519999980926514	123836.71875
0.523999989032745	122727.2109375
0.527999997138977	123235.703125
0.532000005245209	123633.59375
0.53600001335144	122418.46875
0.540000021457672	122836.7421875
0.544000029563904	122914.796875
0.547999978065491	122992.296875
0.551999986171722	122474.7578125
0.555999994277954	122773.5
0.560000002384186	122529.5390625
0.564000010490417	121543.25
0.568000018596649	122785.171875
0.572000026702881	123009.203125
0.575999975204468	121483.4375
0.579999983310699	120680.1640625
0.583999991416931	120895.6328125
0.587999999523163	121140.1640625
0.592000007629395	120629.59375
0.596000015735626	119562.1796875
0.600000023841858	118443.484375
0.603999972343445	118152.1484375
0.607999980449677	117458.828125
0.611999988555908	116049.203125
0.61599999666214	114793.296875
0.620000004768372	113229.921875
0.624000012874603	112225.5234375
0.628000020980835	110576.4375
0.632000029087067	109527.5546875
0.635999977588654	107802.8203125
0.639999985694885	105241.28125
0.643999993801117	103602.8671875
0.648000001907349	100654.4375
0.65200001001358	99129.96875
0.656000018119812	94814.9296875
0.660000026226044	92254.921875
0.663999974727631	89208.9296875
0.667999982833862	87049.5
0.671999990940094	82571
0.675999999046326	79425.40625
0.680000007152557	75632.9765625
0.684000015258789	72728.3515625
0.688000023365021	68671.2734375
0.691999971866608	64595.4765625
0.695999979972839	60013.2734375
0.699999988079071	56293.828125
0.703999996185303	53489.5390625
0.708000004291534	49196.42578125
0.712000012397766	46980.17578125
0.716000020503998	43338.9296875
0.720000028610229	39715.578125
0.723999977111816	36190.25390625
0.727999985218048	35157.86328125
0.73199999332428	32391.498046875
0.736000001430511	29466.341796875
0.740000009536743	27266.53515625
0.744000017642975	25454.919921875
0.748000025749207	23866.478515625
0.751999974250793	21859.044921875
0.755999982357025	21130.677734375
0.759999990463257	19112.4609375
0.763999998569489	18337.998046875
0.76800000667572	17162.759765625
0.772000014781952	16272.54296875
0.776000022888184	14872.482421875
0.779999971389771	14054.0478515625
0.783999979496002	13392.1474609375
0.787999987602234	12825.0576171875
0.791999995708466	11826.3544921875
0.796000003814697	11057.802734375
0.800000011920929	10501.759765625
0.804000020027161	10120.6298828125
0.808000028133392	9452.58984375
0.811999976634979	8534.84375
0.815999984741211	8666.8720703125
0.819999992847443	7858.44970703125
0.824000000953674	7473.6337890625
0.828000009059906	7179.71484375
0.832000017166138	6968.27392578125
0.836000025272369	6493.484375
0.839999973773956	6298.20068359375
0.843999981880188	6039.9443359375
0.84799998998642	5753.994140625
0.851999998092651	5311.162109375
0.856000006198883	5025.8115234375
0.860000014305115	4901.18896484375
0.864000022411346	4762.6318359375
0.867999970912933	4638.17333984375
0.871999979019165	4343.5078125
0.875999987125397	4024.18872070313
0.879999995231628	3930.287109375
0.88400000333786	3806.72216796875
0.888000011444092	3537.2041015625
0.892000019550323	3594.38891601563
0.896000027656555	3558.30737304688
0.899999976158142	3232.47216796875
0.903999984264374	3084.05639648438
0.907999992370605	2873.50048828125
0.912000000476837	2909.61962890625
0.916000008583069	2794.27099609375
0.920000016689301	2826.16870117188
0.924000024795532	2540.31713867188
0.927999973297119	2516.29760742188
0.931999981403351	2359.64477539063
0.935999989509583	2297.4580078125
0.939999997615814	2172.67895507813
0.944000005722046	2098.19946289063
0.948000013828278	2056.2119140625
0.952000021934509	2098.02978515625
0.955999970436096	1874.50524902344
0.959999978542328	1775.41967773438
0.96399998664856	1758.7470703125
0.967999994754791	1727.72045898438
0.972000002861023	1721.34594726563
0.976000010967255	1698.46533203125
0.980000019073486	1636.61401367188
0.984000027179718	1488.98510742188
0.987999975681305	1501.26171875
