TR_S10_PTO_STO(100)_500c_150mT_20000sh_5hz_2theta omega_04162026{1}	
2θ, °	Intensity, cps
16.8479995727539	14.4945383071899
16.8528003692627	9.28287124633789
16.8575992584229	0
16.8624000549316	0
16.8672008514404	28.7381286621094
16.8719997406006	0
16.8768005371094	0
16.8815994262695	0
16.8864002227783	14.2071132659912
16.8911991119385	0
16.8959999084473	0
16.9008007049561	14.1984386444092
16.9055995941162	4.82118129730225
16.910400390625	0
16.9151992797852	0
16.9200000762939	14.2362775802612
16.9248008728027	13.8066473007202
16.9295997619629	0
16.9344005584717	14.1240129470825
16.9391994476318	0
16.9440002441406	14.517201423645
16.9487991333008	14.7024278640747
16.9535999298096	0
16.9584007263184	0
16.9631996154785	0
16.9680004119873	0
16.9727993011475	0
16.9776000976563	4.82538890838623
16.982400894165	0
16.9871997833252	0
16.992000579834	0
16.9967994689941	0
17.0016002655029	0
17.0063991546631	0
17.0111999511719	15.646674156189
17.0160007476807	14.3535223007202
17.0207996368408	0
17.0256004333496	0
17.0303993225098	0
17.0352001190186	0
17.0400009155273	0
17.0447998046875	0
17.0496006011963	0
17.0543994903564	0
17.0592002868652	0
17.0639991760254	14.5516548156738
17.0687999725342	0
17.073600769043	0
17.0783996582031	0
17.0832004547119	14.0696086883545
17.0879993438721	0
17.0928001403809	27.8433227539063
17.0976009368896	14.2491540908813
17.1023998260498	0
17.1072006225586	0
17.1119995117188	14.0072288513184
17.1168003082275	4.66386651992798
17.1215991973877	0
17.1263999938965	0
17.1312007904053	28.1135349273682
17.1359996795654	14.0187454223633
17.1408004760742	0
17.1455993652344	14.9982538223267
17.1504001617432	14.7428216934204
17.1551990509033	0
17.1599998474121	0
17.1648006439209	14.4626245498657
17.1695995330811	0
17.1744003295898	0
17.17919921875	0
17.1840000152588	0
17.1888008117676	14.7679595947266
17.1935997009277	19.3105850219727
17.1984004974365	0
17.2031993865967	14.6396064758301
17.2080001831055	0
17.2127990722656	14.8240556716919
17.2175998687744	0
17.2224006652832	19.4832763671875
17.2271995544434	0
17.2320003509521	0
17.2367992401123	0
17.2416000366211	0
17.2464008331299	29.0071964263916
17.25119972229	14.2614707946777
17.2560005187988	0
17.260799407959	14.8198623657227
17.2656002044678	0
17.2703990936279	43.4797821044922
17.2751998901367	0
17.2800006866455	14.2987384796143
17.2847995758057	29.1138153076172
17.2896003723145	0
17.2943992614746	0
17.2992000579834	0
17.3040008544922	0
17.3087997436523	0
17.3136005401611	0
17.3183994293213	0
17.3232002258301	4.52683925628662
17.3279991149902	14.1683301925659
17.332799911499	0
17.3376007080078	0
17.342399597168	0
17.3472003936768	0
17.3519992828369	0
17.3568000793457	14.8240556716919
17.3616008758545	14.1467056274414
17.3663997650146	4.68405103683472
17.3712005615234	14.6131629943848
17.3759994506836	0
17.3808002471924	0
17.3855991363525	58.5437698364258
17.3903999328613	14.2617073059082
17.3952007293701	0
17.3999996185303	0
17.4048004150391	0
17.4095993041992	0
17.414400100708	0
17.4192008972168	0
17.423999786377	14.6464242935181
17.4288005828857	14.7467851638794
17.4335994720459	14.5786914825439
17.4384002685547	0
17.4431991577148	28.8860530853271
17.4479999542236	14.1259117126465
17.4528007507324	0
17.4575996398926	0
17.4624004364014	29.8718738555908
17.4671993255615	33.9930763244629
17.4720001220703	0
17.4768009185791	18.6232967376709
17.4815998077393	14.1573286056519
17.486400604248	0
17.4911994934082	0
17.496000289917	0
